bvid,filedate,aid,柚恩,米诺,莞儿,虞莫,露早,view,danmaku,reply,favorite,coin,share,like,pubdate,title,tname,duration,temp,group_vid
BV1114y1W7bQ,2022-09-01,772548777,0,0,0,1,0,24142,59,385,290,432,116,2893,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-02,772548777,0,0,0,1,0,28044,73,409,309,454,128,3133,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-03,772548777,0,0,0,1,0,31175,72,420,325,475,137,3296,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-04,772548777,0,0,0,1,0,32372,72,425,334,479,141,3348,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-05,772548777,0,0,0,1,0,33069,72,425,337,484,144,3379,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-06,772548777,0,0,0,1,0,33586,73,429,342,489,144,3400,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-07,772548777,0,0,0,1,0,34201,74,429,344,489,146,3420,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-08,772548777,0,0,0,1,0,34720,76,431,346,492,150,3443,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-09,772548777,0,0,0,1,0,35004,77,431,351,494,150,3457,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-10,772548777,0,0,0,1,0,35391,77,434,356,496,150,3480,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-11,772548777,0,0,0,1,0,35787,77,435,360,497,150,3500,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-12,772548777,0,0,0,1,0,36125,77,438,362,497,152,3513,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-13,772548777,0,0,0,1,0,36416,77,438,364,497,152,3518,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-14,772548777,0,0,0,1,0,36616,77,438,366,497,152,3521,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-15,772548777,0,0,0,1,0,36733,77,438,367,497,152,3528,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-16,772548777,0,0,0,1,0,37645,78,442,373,498,153,3559,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-17,772548777,0,0,0,1,0,38160,78,442,378,502,155,3583,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-18,772548777,0,0,0,1,0,38455,79,442,379,502,155,3588,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-19,772548777,0,0,0,1,0,38680,79,442,379,503,156,3591,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-20,772548777,0,0,0,1,0,38833,79,442,379,505,156,3599,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-21,772548777,0,0,0,1,0,39018,79,442,380,505,156,3608,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-22,772548777,0,0,0,1,0,39130,79,442,381,505,156,3613,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-23,772548777,0,0,0,1,0,39230,79,443,382,507,157,3613,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-24,772548777,0,0,0,1,0,39295,79,442,382,507,157,3615,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV1114y1W7bQ,2022-09-25,772548777,0,0,0,1,0,39375,79,442,382,507,158,3618,1662001200,再凑5000块买电脑！或是史上首次虚拟偶像对真人偶像进行诈骗（伪）【虞莫|直播剪辑】,综合,277,1,0
BV11S4y1W7st,2022-08-24,729766760,1,0,0,0,0,9177,10,279,535,930,96,2824,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-25,729766760,1,0,0,0,0,12004,13,297,644,1120,107,3170,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-26,729766760,1,0,0,0,0,12996,15,298,676,1164,108,3269,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-27,729766760,1,0,0,0,0,13445,15,302,693,1172,111,3308,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-28,729766760,1,0,0,0,0,13829,15,304,703,1192,117,3343,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-29,729766760,1,0,0,0,0,14175,15,304,714,1207,117,3361,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-30,729766760,1,0,0,0,0,14587,15,307,719,1221,117,3389,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-08-31,729766760,1,0,0,0,0,14867,15,310,732,1233,117,3410,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-01,729766760,1,0,0,0,0,15048,15,310,736,1243,117,3420,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-02,729766760,1,0,0,0,0,15201,16,311,738,1249,117,3425,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-03,729766760,1,0,0,0,0,15329,16,312,744,1253,118,3431,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-04,729766760,1,0,0,0,0,15467,16,313,750,1259,119,3441,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-05,729766760,1,0,0,0,0,15630,16,312,753,1265,120,3447,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-06,729766760,1,0,0,0,0,15797,16,312,756,1267,120,3450,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-07,729766760,1,0,0,0,0,15937,16,313,758,1273,120,3456,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-08,729766760,1,0,0,0,0,16148,16,313,763,1283,121,3470,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-09,729766760,1,0,0,0,0,16270,16,313,766,1287,121,3477,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-10,729766760,1,0,0,0,0,16401,16,313,768,1291,121,3487,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
BV11S4y1W7st,2022-09-11,729766760,1,0,0,0,0,16536,16,313,770,1294,123,3493,1661329701,点燃你我生命的火，柚恩翻唱《只要平凡》【直播剪辑】,翻唱,249,1,0
